sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,35-39,White,Married-civ-spouse,Professional Education,United-States,Private,Sales,<=50K
Male,40-59,White,Married-civ-spouse,*,United-States,Private,Craft-repair,<=50K
Male,20-39,White,Married-civ-spouse,High School,United-States,Private,Craft-repair,<=50K
*,*,White,Never-married,Some-college,United-States,Non-Government,Technical,<=50K
Male,20-39,Black,*,Higher education,United-States,Private,Nontechnical,<=50K
Male,20-24,White,Never-married,HS-grad,North America,Private,Other-service,<=50K
Male,*,White,*,Higher education,United-States,Private,Technical,<=50K
Male,20-39,*,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Female,40-59,White,Separated,High School,United-States,Non-Government,Other-service,<=50K
Male,30-39,White,Divorced,Some-college,United-States,Private,Craft-repair,<=50K
Female,40-59,White,Widowed,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,63,White,Married-civ-spouse,High School,United-States,Private,Sales,>50K
Male,40-59,White,Married-civ-spouse,Undergraduate,United-States,Private,Adm-clerical,>50K
Female,20-29,White,Never-married,Bachelors,United-States,Private,Tech-support,>50K
Male,40-44,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Female,40-59,*,spouse not present,HS-grad,North America,Private,Adm-clerical,<=50K
Male,35-39,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,>50K
Male,20-29,White,Never-married,Higher education,United-States,State-gov,Technical,<=50K
Male,20-29,White,Never-married,Some-college,United-States,*,*,<=50K
Male,20-39,White,Never-married,Undergraduate,United-States,Private,Other-service,<=50K
Female,20-39,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,20-39,White,Married-civ-spouse,Some-college,United-States,Private,Nontechnical,<=50K
Male,45-49,White,Married-civ-spouse,Some-college,North America,Private,Craft-repair,<=50K
Female,35-39,White,Divorced,Professional Education,United-States,Private,Prof-specialty,<=50K
Male,20-29,White,Never-married,Bachelors,United-States,Private,Exec-managerial,<=50K
Male,50-59,White,Divorced,HS-grad,United-States,Private,Other,<=50K
Male,30-34,White,Never-married,Bachelors,United-States,Private,Sales,>50K
Female,15-19,White,Never-married,10th,United-States,Private,Other-service,<=50K
Female,20-24,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,30-34,White,Married-civ-spouse,High School,United-States,Private,Transport-moving,<=50K
Male,45-49,White,Married-civ-spouse,Prof-school,United-States,Self-emp-inc,Prof-specialty,>50K
Male,20-39,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,30-39,White,Divorced,HS-grad,United-States,Private,Nontechnical,<=50K
Female,40-59,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,>50K
Female,20-29,Asian-Pac-Islander,Never-married,Bachelors,United-States,*,Adm-clerical,<=50K
*,*,Asian-Pac-Islander,Never-married,Some-college,Philippines,Private,*,<=50K
Male,30-39,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Female,*,*,Never-married,Undergraduate,United-States,Private,Adm-clerical,<=50K
*,40-59,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Exec-managerial,>50K
Male,30-34,White,Married-civ-spouse,Higher education,United-States,Local-gov,Protective-serv,<=50K
Male,55-59,White,Married-civ-spouse,High School,United-States,Local-gov,Other,<=50K
Female,19,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Female,20-39,Black,Never-married,Some-college,United-States,Government,Adm-clerical,<=50K
Female,40-59,White,Divorced,High School,United-States,Private,Other-service,<=50K
Male,30-39,White,*,Higher education,United-States,Non-Government,Technical,>50K
Male,20-39,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Female,35-39,White,Divorced,Undergraduate,United-States,Private,Technical,<=50K
Male,20-24,White,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K
Male,20-29,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,40-59,White,Married-civ-spouse,High School,United-States,Private,Other,<=50K
Female,40-59,White,spouse not present,*,United-States,Government,Nontechnical,<=50K
Female,20-39,*,Married-civ-spouse,*,North America,Private,Technical,>50K
Male,35-39,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
*,40-49,White,Married-civ-spouse,*,United-States,State-gov,Prof-specialty,>50K
Male,40-59,*,Married-civ-spouse,Higher education,United-States,Non-Government,Prof-specialty,>50K
Female,20-24,White,Never-married,Assoc-acdm,United-States,Private,Adm-clerical,<=50K
Female,15-19,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,*,White,*,Higher education,United-States,Private,Technical,>50K
Female,20-39,White,Separated,High School,United-States,Private,Other-service,<=50K
Female,40-59,White,Divorced,Higher education,United-States,Local-gov,Exec-managerial,<=50K
Male,60-79,White,Married-civ-spouse,Higher education,United-States,Private,Technical,>50K
*,50-59,Black,Divorced,Higher education,United-States,*,Exec-managerial,<=50K
Male,*,White,Separated,Higher education,United-States,*,*,<=50K
Female,*,White,spouse not present,*,United-States,*,*,<=50K
Female,15-19,White,Never-married,Higher education,United-States,Government,Adm-clerical,<=50K
Male,35-39,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,>50K
Male,40-44,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,40-59,White,*,HS-grad,United-States,Non-Government,Technical,<=50K
Female,40-59,White,Divorced,HS-grad,United-States,Private,Technical,<=50K
Male,20-39,White,Never-married,1st-4th,North America,Private,Craft-repair,<=50K
Male,40-59,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,*,Black,Separated,High School,United-States,Private,Machine-op-inspct,<=50K
Male,20-39,White,Married-civ-spouse,Professional Education,United-States,Private,Prof-specialty,>50K
Female,15-19,White,Never-married,HS-grad,United-States,Private,Technical,<=50K
Male,20-24,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,20-39,Asian-Pac-Islander,Married-civ-spouse,Higher education,Asia,Private,Prof-specialty,<=50K
Male,35-39,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Female,20-24,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
*,20-39,*,Never-married,Undergraduate,United-States,Local-gov,Protective-serv,>50K
Female,40-59,White,spouse not present,Bachelors,United-States,Government,Adm-clerical,<=50K
Male,30-39,White,Never-married,High School,United-States,Private,Other-service,<=50K
Female,40-49,White,Married-spouse-absent,Higher education,United-States,Private,Adm-clerical,<=50K
*,*,Asian-Pac-Islander,*,*,*,Private,*,<=50K
Male,20-24,White,Never-married,Undergraduate,United-States,Private,Tech-support,<=50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Non-Government,Sales,<=50K
Male,49,White,Married-civ-spouse,7th-8th,United-States,Private,Technical,<=50K
Male,40-59,*,Divorced,HS-grad,United-States,*,Other,<=50K
Male,19,White,Never-married,Some-college,United-States,Private,Other,<=50K
Male,30-39,White,Married-civ-spouse,Undergraduate,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,20-29,White,Married-civ-spouse,Undergraduate,United-States,Private,Adm-clerical,>50K
Male,20-29,White,Married-civ-spouse,Bachelors,United-States,Private,Craft-repair,<=50K
Male,30-34,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Female,20-39,White,Married-civ-spouse,HS-grad,United-States,Private,Other,<=50K
Male,38,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K
Male,25-29,*,Never-married,*,United-States,Government,*,<=50K
Male,30-34,White,Never-married,Bachelors,United-States,Private,Sales,<=50K
