sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,33,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Female,32,White,Divorced,Bachelors,United-States,Private,Machine-op-inspct,<=50K
Female,31,White,Divorced,9th,United-States,Private,Adm-clerical,<=50K
Male,60,White,Married-civ-spouse,9th,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,30,Other,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,23,White,Never-married,Some-college,United-States,Private,Prof-specialty,<=50K
Male,20,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,43,White,Married-civ-spouse,HS-grad,United-States,State-gov,Craft-repair,<=50K
Female,72,Black,Divorced,11th,United-States,Private,Other-service,<=50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Male,22,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,48,White,Divorced,Some-college,United-States,Self-emp-not-inc,Craft-repair,<=50K
Female,32,White,Never-married,HS-grad,United-States,State-gov,Adm-clerical,<=50K
Male,29,White,Divorced,HS-grad,United-States,Private,Farming-fishing,<=50K
Female,34,White,Never-married,Bachelors,United-States,Private,Tech-support,<=50K
Female,36,White,Married-civ-spouse,Masters,United-States,Local-gov,Prof-specialty,<=50K
Male,31,White,Married-civ-spouse,Assoc-voc,United-States,Private,Transport-moving,>50K
Male,47,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Craft-repair,<=50K
Male,42,White,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,>50K
Male,29,White,Divorced,HS-grad,United-States,Private,Sales,<=50K
Female,45,White,Never-married,HS-grad,United-States,Local-gov,Adm-clerical,<=50K
Male,21,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,37,White,Divorced,Bachelors,United-States,Private,Other-service,<=50K
Female,20,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,44,White,Married-civ-spouse,Masters,United-States,Self-emp-not-inc,Farming-fishing,>50K
Female,19,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Female,32,White,Separated,11th,Nicaragua,Self-emp-not-inc,Handlers-cleaners,<=50K
Female,38,Black,Separated,Some-college,United-States,State-gov,Adm-clerical,<=50K
Male,42,White,Married-civ-spouse,7th-8th,United-States,Private,Transport-moving,<=50K
Male,40,Amer-Indian-Eskimo,Never-married,HS-grad,United-States,Local-gov,Craft-repair,<=50K
Male,47,Black,Never-married,Bachelors,United-States,Private,Sales,>50K
Female,58,Black,Divorced,HS-grad,United-States,Federal-gov,Adm-clerical,<=50K
Male,27,White,Never-married,HS-grad,Mexico,Private,Other-service,<=50K
Female,55,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Sales,<=50K
Male,23,Other,Never-married,7th-8th,Mexico,Private,Farming-fishing,<=50K
Male,36,Asian-Pac-Islander,Married-civ-spouse,HS-grad,Laos,Private,Machine-op-inspct,<=50K
Male,61,White,Divorced,HS-grad,United-States,Self-emp-inc,Sales,<=50K
Male,25,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,51,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K
Male,53,Black,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,31,White,Never-married,Bachelors,United-States,Private,Farming-fishing,<=50K
Male,34,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,39,White,Married-civ-spouse,11th,United-States,Private,Prof-specialty,<=50K
Male,31,White,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,>50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Male,55,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K
Male,50,White,Married-civ-spouse,9th,United-States,Private,Craft-repair,<=50K
Female,36,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Sales,<=50K
Male,38,White,Never-married,Bachelors,United-States,Private,Farming-fishing,<=50K
Male,54,White,Married-civ-spouse,Some-college,United-States,Federal-gov,Craft-repair,<=50K
Male,41,White,Married-civ-spouse,5th-6th,Mexico,Private,Adm-clerical,<=50K
Male,57,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,31,White,Married-civ-spouse,Bachelors,United-States,State-gov,Prof-specialty,>50K
Female,48,White,Divorced,11th,United-States,Private,Other-service,<=50K
Female,26,White,Never-married,Masters,United-States,Private,Exec-managerial,<=50K
Male,33,White,Divorced,11th,United-States,Self-emp-not-inc,Handlers-cleaners,<=50K
Male,29,White,Married-civ-spouse,Assoc-voc,United-States,Private,Craft-repair,<=50K
Male,53,Black,Separated,Some-college,United-States,Federal-gov,Craft-repair,<=50K
Male,39,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K
Female,28,White,Divorced,HS-grad,United-States,Private,Other-service,<=50K
Female,58,Black,Divorced,Some-college,United-States,Private,Other-service,<=50K
Male,25,White,Married-civ-spouse,10th,United-States,Private,Machine-op-inspct,<=50K
Male,53,White,Married-civ-spouse,Doctorate,Germany,Federal-gov,Prof-specialty,>50K
Male,50,White,Divorced,Some-college,United-States,Self-emp-inc,Protective-serv,<=50K
Female,31,White,Widowed,Some-college,United-States,Private,Exec-managerial,<=50K
Male,45,Asian-Pac-Islander,Married-civ-spouse,Bachelors,Philippines,Private,Adm-clerical,<=50K
Male,19,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Female,74,White,Never-married,Doctorate,United-States,State-gov,Prof-specialty,>50K
Male,21,White,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K
Female,24,Black,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Female,25,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,31,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,>50K
Male,23,White,Never-married,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Female,19,Black,Never-married,10th,United-States,Private,Other-service,<=50K
Male,77,White,Married-civ-spouse,Prof-school,United-States,Private,Exec-managerial,<=50K
Male,57,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Other-service,<=50K
Male,27,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,23,White,Married-civ-spouse,HS-grad,Guatemala,Private,Other-service,<=50K
Male,44,Black,Married-civ-spouse,5th-6th,United-States,Private,Machine-op-inspct,<=50K
Male,56,White,Never-married,Masters,United-States,Private,Prof-specialty,<=50K
Female,25,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,49,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,>50K
Male,38,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,28,White,Married-civ-spouse,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,22,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,27,White,Married-civ-spouse,Some-college,United-States,Private,Machine-op-inspct,<=50K
Male,57,White,Married-civ-spouse,Some-college,United-States,Federal-gov,Exec-managerial,>50K
Male,47,White,Married-civ-spouse,Masters,United-States,Local-gov,Prof-specialty,>50K
Female,45,Asian-Pac-Islander,Married-civ-spouse,Some-college,United-States,State-gov,Adm-clerical,>50K
Female,35,White,Never-married,Assoc-voc,United-States,Private,Other-service,<=50K
Female,35,White,Married-civ-spouse,Assoc-voc,United-States,Private,Craft-repair,<=50K
Male,60,Black,Widowed,11th,United-States,Private,Transport-moving,<=50K
Male,26,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K
Male,32,White,Married-civ-spouse,Assoc-voc,United-States,Private,Transport-moving,<=50K
Male,47,White,Married-civ-spouse,Bachelors,Canada,Private,Exec-managerial,>50K
Male,39,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K
Male,50,Black,Divorced,Bachelors,United-States,Private,Sales,<=50K
Male,44,White,Married-civ-spouse,Masters,United-States,Private,Tech-support,>50K
Female,43,White,Married-civ-spouse,HS-grad,Canada,Private,Adm-clerical,>50K
Male,22,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,24,White,Never-married,Some-college,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,42,White,Married-civ-spouse,Some-college,United-States,Local-gov,Protective-serv,>50K
Male,30,White,Divorced,HS-grad,United-States,Private,Transport-moving,<=50K
Female,19,Black,Never-married,HS-grad,United-States,Private,Sales,<=50K
Female,22,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,36,Black,Married-civ-spouse,Some-college,United-States,Private,Adm-clerical,>50K
Male,46,White,Married-civ-spouse,Bachelors,United-States,State-gov,Prof-specialty,>50K
Male,47,White,Married-civ-spouse,Some-college,United-States,Private,Prof-specialty,<=50K
Male,27,Black,Never-married,Assoc-acdm,United-States,Federal-gov,Transport-moving,<=50K
Male,21,White,Never-married,Preschool,Mexico,Private,Farming-fishing,<=50K
Male,20,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,29,White,Married-civ-spouse,Some-college,United-States,Private,Handlers-cleaners,<=50K
Female,58,White,Widowed,11th,United-States,Private,Other-service,<=50K
Female,25,White,Divorced,Some-college,United-States,Self-emp-inc,Adm-clerical,<=50K
Male,62,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Sales,<=50K
Female,29,White,Never-married,Bachelors,United-States,Federal-gov,Prof-specialty,<=50K
Male,43,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,29,White,Never-married,HS-grad,United-States,Self-emp-not-inc,Sales,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Craft-repair,<=50K
Male,46,White,Married-civ-spouse,Prof-school,United-States,State-gov,Exec-managerial,>50K
Female,35,White,Married-civ-spouse,Bachelors,United-States,Private,Other-service,<=50K
Male,25,White,Never-married,Some-college,United-States,Private,Transport-moving,<=50K
Female,28,White,Never-married,Bachelors,United-States,Private,Sales,<=50K
Female,56,Black,Separated,Some-college,United-States,Private,Tech-support,<=50K
Male,32,White,Married-civ-spouse,Some-college,United-States,Private,Machine-op-inspct,>50K
Male,37,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K
Male,42,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,22,White,Never-married,Bachelors,United-States,Federal-gov,Prof-specialty,<=50K
Female,24,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Female,26,White,Never-married,Bachelors,United-States,Private,Prof-specialty,>50K
Male,43,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,>50K
Male,42,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Sales,<=50K
Male,23,White,Never-married,HS-grad,United-States,Self-emp-inc,Transport-moving,<=50K
Male,32,White,Never-married,Assoc-voc,United-States,Private,Craft-repair,<=50K
Male,38,White,Divorced,Some-college,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Female,49,White,Divorced,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,35,White,Divorced,Bachelors,Germany,Private,Tech-support,>50K
Male,21,White,Never-married,Bachelors,United-States,Private,Sales,<=50K
Male,53,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,>50K
Male,28,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,61,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,27,White,Never-married,Some-college,United-States,Private,Transport-moving,<=50K
Male,31,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,54,White,Married-civ-spouse,Some-college,United-States,Private,Tech-support,>50K
Male,43,Asian-Pac-Islander,Married-civ-spouse,HS-grad,China,Private,Other-service,<=50K
Female,26,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,48,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,28,White,Married-civ-spouse,Some-college,United-States,Private,Handlers-cleaners,<=50K
Male,18,White,Never-married,11th,United-States,Private,Other-service,<=50K
Male,23,Black,Never-married,12th,United-States,Private,Other-service,<=50K
Male,90,Asian-Pac-Islander,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,22,White,Never-married,Some-college,United-States,Private,Farming-fishing,<=50K
Female,24,White,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,>50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,<=50K
Female,51,Black,Separated,10th,United-States,Private,Machine-op-inspct,<=50K
Male,24,White,Never-married,12th,United-States,Private,Sales,<=50K
Male,55,White,Married-civ-spouse,11th,United-States,Private,Machine-op-inspct,<=50K
Female,41,White,Widowed,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,48,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,46,White,Never-married,1st-4th,Puerto-Rico,Private,Machine-op-inspct,<=50K
Male,70,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Exec-managerial,<=50K
Male,29,Asian-Pac-Islander,Married-civ-spouse,Some-college,South,Self-emp-not-inc,Craft-repair,<=50K
Male,45,White,Never-married,Bachelors,United-States,Self-emp-not-inc,Sales,>50K
Male,47,White,Married-civ-spouse,Bachelors,United-States,Federal-gov,Craft-repair,<=50K
Female,37,White,Divorced,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,72,White,Married-civ-spouse,Prof-school,United-States,Self-emp-inc,Prof-specialty,>50K
Male,33,White,Divorced,Doctorate,United-States,Private,Sales,>50K
Male,50,White,Married-civ-spouse,Masters,United-States,Local-gov,Exec-managerial,>50K
Female,46,White,Divorced,Assoc-voc,United-States,Local-gov,Exec-managerial,<=50K
Male,29,White,Married-civ-spouse,Assoc-voc,United-States,Federal-gov,Craft-repair,>50K
Male,32,White,Never-married,10th,United-States,Private,Craft-repair,<=50K
Male,27,White,Married-civ-spouse,10th,United-States,Private,Machine-op-inspct,<=50K
Male,41,Black,Separated,Some-college,United-States,Private,Other-service,<=50K
Female,21,White,Never-married,Assoc-acdm,United-States,Private,Other-service,<=50K
Male,30,Black,Never-married,Assoc-voc,United-States,Private,Prof-specialty,<=50K
Male,30,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,38,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,>50K
Male,39,White,Divorced,Some-college,United-States,Private,Sales,<=50K
Male,38,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K
Male,47,White,Divorced,Some-college,United-States,Private,Adm-clerical,<=50K
Female,24,White,Never-married,Some-college,United-States,Private,Craft-repair,<=50K
Male,18,White,Never-married,12th,United-States,Private,Other-service,<=50K
Male,37,White,Married-civ-spouse,Bachelors,United-States,Private,Machine-op-inspct,>50K
Male,24,White,Never-married,Some-college,United-States,State-gov,Other-service,<=50K
Female,62,White,Widowed,HS-grad,United-States,Private,Farming-fishing,<=50K
Female,28,White,Never-married,Bachelors,United-States,Private,Sales,<=50K
Male,36,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Exec-managerial,<=50K
Male,42,White,Divorced,11th,Puerto-Rico,Local-gov,Sales,>50K
Female,63,White,Widowed,10th,United-States,Private,Other-service,<=50K
Male,35,White,Married-civ-spouse,Some-college,United-States,Private,Handlers-cleaners,<=50K
Male,38,White,Divorced,HS-grad,United-States,Local-gov,Protective-serv,<=50K
Male,61,White,Married-civ-spouse,Prof-school,United-States,Self-emp-not-inc,Prof-specialty,>50K
Female,70,White,Widowed,Some-college,United-States,Private,Sales,<=50K
Male,48,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,38,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,53,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Sales,>50K
Male,45,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Exec-managerial,<=50K
Male,48,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,23,White,Never-married,Bachelors,United-States,Private,Sales,<=50K
Male,59,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Sales,>50K
Male,60,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Male,64,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Female,51,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,>50K
Male,46,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Female,37,White,Divorced,HS-grad,Puerto-Rico,State-gov,Adm-clerical,<=50K
Female,41,White,Never-married,Masters,United-States,Private,Prof-specialty,<=50K
Male,53,Asian-Pac-Islander,Married-civ-spouse,5th-6th,Laos,Private,Machine-op-inspct,<=50K
Male,27,White,Never-married,HS-grad,United-States,Private,Sales,>50K
Male,74,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Exec-managerial,>50K
Male,29,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Male,24,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Female,26,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,38,White,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,<=50K
Male,69,White,Married-civ-spouse,Doctorate,United-States,State-gov,Prof-specialty,>50K
Male,44,Amer-Indian-Eskimo,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,26,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Female,33,White,Divorced,HS-grad,United-States,Private,Other-service,<=50K
Male,49,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,52,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,23,White,Never-married,7th-8th,United-States,Private,Machine-op-inspct,<=50K
Male,34,White,Married-civ-spouse,HS-grad,United-States,State-gov,Adm-clerical,<=50K
Male,33,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,20,Black,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Female,20,White,Never-married,Assoc-voc,United-States,Private,Other-service,<=50K
Female,23,Black,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,40,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Tech-support,>50K
Male,30,White,Married-civ-spouse,9th,United-States,Private,Other-service,<=50K
Female,41,White,Divorced,Bachelors,United-States,Local-gov,Protective-serv,<=50K
Male,52,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,34,White,Never-married,Bachelors,United-States,Private,Sales,<=50K
Female,32,White,Married-civ-spouse,11th,United-States,Private,Other-service,<=50K
Male,27,White,Never-married,Assoc-voc,United-States,Private,Machine-op-inspct,<=50K
Female,51,White,Married-civ-spouse,Bachelors,United-States,Private,Adm-clerical,>50K
Male,31,White,Married-civ-spouse,Masters,United-States,Private,Sales,>50K
Male,57,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,32,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
