sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,53,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K
Female,29,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,42,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Exec-managerial,>50K
Female,49,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,24,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K
Female,19,White,Never-married,HS-grad,El-Salvador,Private,Other-service,<=50K
Male,22,White,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K
Female,31,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Female,33,White,Never-married,Masters,United-States,Local-gov,Prof-specialty,<=50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Female,18,White,Never-married,12th,United-States,Private,Other-service,<=50K
Male,46,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K
Female,36,White,Divorced,Assoc-acdm,United-States,Private,Sales,<=50K
Female,33,White,Never-married,10th,United-States,Private,Machine-op-inspct,<=50K
Female,36,White,Divorced,HS-grad,United-States,Federal-gov,Adm-clerical,<=50K
Male,47,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,41,Other,Married-civ-spouse,Assoc-voc,Mexico,Self-emp-inc,Sales,<=50K
Female,19,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,34,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,23,Black,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,29,White,Never-married,HS-grad,United-States,Private,Tech-support,<=50K
Male,22,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,20,White,Never-married,11th,Guatemala,Private,Transport-moving,<=50K
Female,28,White,Never-married,Doctorate,Germany,Private,Prof-specialty,>50K
Male,44,White,Separated,Some-college,England,Private,Exec-managerial,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Female,40,White,Married-civ-spouse,Masters,United-States,Local-gov,Prof-specialty,>50K
Female,25,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,69,Black,Widowed,HS-grad,United-States,Local-gov,Adm-clerical,<=50K
Male,42,White,Divorced,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,19,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,64,White,Married-civ-spouse,Assoc-voc,United-States,Local-gov,Exec-managerial,>50K
Female,22,White,Never-married,Bachelors,United-States,Private,Sales,<=50K
Male,49,White,Married-civ-spouse,HS-grad,Portugal,State-gov,Craft-repair,<=50K
Male,45,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,>50K
Male,34,White,Never-married,HS-grad,United-States,Private,Transport-moving,<=50K
Male,20,White,Never-married,9th,Mexico,Private,Other-service,<=50K
Male,25,Black,Never-married,HS-grad,United-States,Private,Sales,<=50K
Male,59,White,Married-civ-spouse,Doctorate,United-States,Private,Prof-specialty,>50K
Female,22,White,Never-married,HS-grad,United-States,Private,Exec-managerial,<=50K
Female,36,White,Divorced,Some-college,United-States,Private,Craft-repair,<=50K
Female,25,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
Female,53,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,26,White,Never-married,HS-grad,Mexico,Private,Adm-clerical,<=50K
Male,25,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,38,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Prof-specialty,>50K
Female,37,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,42,Black,Divorced,Bachelors,United-States,State-gov,Prof-specialty,<=50K
Female,18,White,Never-married,11th,United-States,Private,Sales,<=50K
Male,28,Black,Never-married,Some-college,United-States,Private,Prof-specialty,<=50K
Male,49,White,Married-civ-spouse,Masters,United-States,Local-gov,Prof-specialty,>50K
Female,59,White,Divorced,Some-college,United-States,State-gov,Adm-clerical,<=50K
Female,54,White,Divorced,Masters,United-States,Self-emp-not-inc,Prof-specialty,<=50K
Female,50,White,Divorced,Some-college,United-States,Private,Sales,<=50K
Male,22,White,Married-civ-spouse,Some-college,United-States,Private,Tech-support,<=50K
Male,42,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,37,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
Female,21,White,Never-married,Assoc-voc,United-States,Private,Other-service,<=50K
Female,24,White,Never-married,HS-grad,United-States,Private,Sales,<=50K
Female,29,Amer-Indian-Eskimo,Married-civ-spouse,Some-college,United-States,Private,Other-service,<=50K
Male,28,White,Married-civ-spouse,Bachelors,United-States,State-gov,Protective-serv,<=50K
Male,50,White,Married-civ-spouse,Assoc-voc,United-States,Private,Other-service,<=50K
Male,54,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Female,35,White,Divorced,HS-grad,United-States,Private,Tech-support,<=50K
Male,28,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,41,Black,Married-spouse-absent,Some-college,United-States,Private,Sales,<=50K
Female,32,White,Separated,Some-college,United-States,Private,Tech-support,<=50K
Male,27,Black,Married-civ-spouse,Some-college,United-States,State-gov,Exec-managerial,>50K
Male,57,White,Separated,HS-grad,Cuba,Private,Machine-op-inspct,<=50K
Male,25,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,30,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K
Male,36,Black,Never-married,10th,United-States,Private,Farming-fishing,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,30,White,Married-AF-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,34,White,Never-married,Prof-school,United-States,Self-emp-not-inc,Prof-specialty,>50K
Female,34,White,Divorced,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,72,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Sales,<=50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Male,28,White,Never-married,Bachelors,United-States,Self-emp-not-inc,Prof-specialty,<=50K
Female,22,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,36,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,>50K
Male,37,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Adm-clerical,<=50K
Male,28,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Exec-managerial,<=50K
Male,37,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K
Female,29,White,Separated,Some-college,United-States,Private,Tech-support,<=50K
Female,18,White,Never-married,11th,United-States,Private,Other-service,<=50K
Male,30,White,Married-civ-spouse,Some-college,Mexico,Private,Craft-repair,<=50K
Male,50,Black,Married-civ-spouse,Some-college,United-States,Private,Protective-serv,>50K
Male,45,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,<=50K
Male,34,White,Never-married,HS-grad,United-States,Private,Tech-support,<=50K
Male,44,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,31,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Male,52,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Female,64,White,Widowed,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,32,White,Married-civ-spouse,7th-8th,United-States,Private,Craft-repair,<=50K
Female,30,White,Widowed,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,41,White,Never-married,Some-college,United-States,Private,Farming-fishing,<=50K
Female,36,White,Divorced,HS-grad,United-States,Local-gov,Adm-clerical,<=50K
Male,28,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,27,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,52,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Male,50,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,>50K
Female,24,White,Never-married,Some-college,United-States,Private,Tech-support,<=50K
Female,31,Black,Separated,Assoc-acdm,United-States,State-gov,Other-service,<=50K
Male,46,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Exec-managerial,>50K
Male,19,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,72,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Sales,<=50K
Male,38,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
