sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,36,White,spouse present,High School,North America,Non-Government,Other,<=50K
Male,26,White,spouse not present,Undergraduate,North America,Government,Technical,<=50K
Male,27,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Female,43,White,spouse present,High School,Europe,Non-Government,Technical,<=50K
Male,53,White,spouse present,Primary School,North America,Government,Other,<=50K
Female,22,Amer-Indian-Eskimo,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,47,White,spouse present,High School,Europe,Non-Government,Other,<=50K
Male,47,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,36,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Female,65,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,27,White,spouse not present,High School,North America,Government,Other,<=50K
Male,31,White,spouse present,Undergraduate,Europe,Non-Government,Nontechnical,>50K
Male,36,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Male,52,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Female,26,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Male,49,White,spouse present,Undergraduate,North America,Government,Other,<=50K
Female,52,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,40,White,spouse present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,25,Asian-Pac-Islander,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Male,30,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Female,21,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Male,17,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Female,33,Black,spouse not present,Professional Education,North America,Government,Other,<=50K
Female,52,Black,spouse not present,High School,North America,Government,Other,<=50K
Male,24,White,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Male,34,Black,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Female,41,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,46,White,spouse present,Undergraduate,North America,Government,Technical,>50K
Male,26,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Female,21,White,spouse not present,Undergraduate,North America,Government,Technical,<=50K
Male,41,White,spouse present,Undergraduate,North America,Government,Other,>50K
Male,39,Asian-Pac-Islander,spouse present,Professional Education,Asia,Non-Government,Technical,>50K
Female,17,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Female,31,White,spouse present,High School,North America,Non-Government,Nontechnical,>50K
Male,56,White,spouse not present,Graduate,North America,Government,Technical,<=50K
Female,26,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Female,21,Black,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,33,Asian-Pac-Islander,spouse present,Graduate,Asia,Government,Technical,<=50K
Male,39,White,spouse present,Professional Education,North America,Government,Technical,<=50K
Male,37,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Male,43,Amer-Indian-Eskimo,spouse present,High School,North America,Government,Other,<=50K
Male,54,White,spouse present,Professional Education,North America,Non-Government,Other,>50K
Male,22,White,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Male,53,White,spouse present,Graduate,North America,Government,Technical,>50K
Male,50,White,spouse present,High School,North America,Non-Government,Nontechnical,>50K
Male,33,White,spouse present,Professional Education,Europe,Non-Government,Technical,<=50K
Male,36,White,spouse present,High School,North America,Non-Government,Technical,>50K
Male,50,White,spouse present,High School,North America,Non-Government,Technical,>50K
Male,46,White,spouse present,Professional Education,North America,Non-Government,Technical,>50K
Male,37,White,spouse present,High School,North America,Non-Government,Nontechnical,>50K
Male,61,White,spouse present,Primary School,North America,Non-Government,Nontechnical,<=50K
Male,50,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Female,47,White,spouse present,Undergraduate,North America,Government,Other,<=50K
Male,60,White,spouse present,Primary School,North America,Non-Government,Technical,<=50K
Male,26,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,37,White,spouse present,Graduate,Europe,Non-Government,Technical,>50K
Male,23,Black,spouse not present,High School,North America,Non-Government,Nontechnical,<=50K
Female,31,White,spouse present,High School,North America,Non-Government,Nontechnical,<=50K
Female,38,Black,spouse present,Undergraduate,North America,Government,Nontechnical,>50K
Male,28,White,spouse not present,Undergraduate,North America,Government,Other,<=50K
Male,34,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,44,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Male,38,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Male,40,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,40,White,spouse present,Professional Education,North America,Non-Government,Technical,<=50K
Female,38,White,spouse not present,Undergraduate,North America,Government,Nontechnical,<=50K
Male,39,White,spouse present,High School,North America,Non-Government,Technical,>50K
Male,31,White,spouse present,High School,North America,Non-Government,Technical,>50K
Female,35,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,51,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Female,48,White,spouse not present,Undergraduate,Europe,Non-Government,Nontechnical,>50K
Male,50,White,spouse present,High School,North America,Non-Government,Other,>50K
Male,56,White,spouse present,Undergraduate,North America,Non-Government,Technical,>50K
Male,28,White,spouse not present,Undergraduate,North America,Non-Government,Technical,>50K
Female,17,White,spouse not present,High School,North America,Government,Other,<=50K
Male,57,White,spouse present,Graduate,North America,Government,Nontechnical,>50K
Female,49,Black,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,27,Amer-Indian-Eskimo,spouse not present,Undergraduate,North America,Government,Technical,<=50K
Male,46,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Female,29,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,40,White,spouse present,Primary School,North America,Non-Government,Other,<=50K
Female,21,White,spouse not present,Undergraduate,North America,Government,Technical,<=50K
Male,32,White,spouse present,Undergraduate,North America,Government,Other,>50K
Male,48,White,spouse present,Graduate,North America,Government,Technical,>50K
Male,24,Black,spouse not present,Primary School,North America,Non-Government,Other,<=50K
Female,42,White,spouse present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,22,Black,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Female,54,White,spouse not present,Undergraduate,North America,Government,Other,<=50K
Male,50,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,62,Black,spouse present,High School,North America,Non-Government,Technical,>50K
Female,22,White,spouse not present,Undergraduate,North America,Non-Government,Other,<=50K
Female,41,White,spouse present,Graduate,Europe,Non-Government,Technical,<=50K
Female,26,Black,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,28,White,spouse present,Undergraduate,North America,Government,Technical,>50K
Female,42,White,spouse not present,Graduate,Europe,Government,Nontechnical,<=50K
Male,44,White,spouse not present,Professional Education,North America,Government,Technical,<=50K
Male,23,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,20,White,spouse not present,Primary School,North America,Non-Government,Other,<=50K
Male,28,White,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Male,52,White,spouse present,High School,North America,Non-Government,Technical,>50K
Male,21,White,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,35,White,spouse present,High School,North America,Non-Government,Nontechnical,<=50K
Male,21,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Female,50,Other,spouse not present,Undergraduate,North America,Non-Government,Technical,<=50K
Male,53,White,spouse not present,Undergraduate,North America,Non-Government,Nontechnical,<=50K
Female,50,White,spouse present,Undergraduate,North America,Government,Technical,>50K
Male,26,White,spouse present,High School,North America,Non-Government,Other,<=50K
Male,32,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,42,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,45,White,spouse present,Undergraduate,North America,Government,Nontechnical,>50K
Male,30,Black,spouse present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,39,Asian-Pac-Islander,spouse not present,Undergraduate,Asia,Non-Government,Technical,<=50K
Female,36,White,spouse present,Professional Education,North America,Non-Government,Nontechnical,<=50K
Male,35,White,spouse present,High School,North America,Non-Government,Technical,>50K
Male,31,White,spouse present,Graduate,North America,Government,Technical,<=50K
Male,32,White,spouse present,High School,North America,Non-Government,Technical,<=50K
Male,56,White,spouse not present,Graduate,North America,Government,Technical,<=50K
Female,60,Black,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,40,White,spouse present,Undergraduate,North America,Non-Government,Technical,<=50K
Female,72,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,43,Black,spouse not present,High School,North America,Non-Government,Technical,<=50K
Male,38,White,spouse present,High School,North America,Non-Government,Technical,>50K
Female,50,White,spouse not present,Undergraduate,North America,Government,Nontechnical,<=50K
Male,50,Black,spouse present,Graduate,North America,Government,Nontechnical,<=50K
Female,35,Amer-Indian-Eskimo,spouse not present,Undergraduate,North America,Government,Other,<=50K
Male,35,White,spouse present,Undergraduate,North America,Non-Government,Nontechnical,>50K
Male,34,White,spouse present,Professional Education,North America,Non-Government,Technical,<=50K
Male,78,White,spouse present,High School,North America,Non-Government,Other,<=50K
