sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,29,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Female,21,Black,Never-married,10th,United-States,Private,Prof-specialty,<=50K
Female,27,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,28,White,Married-civ-spouse,HS-grad,United-States,Private,Other-service,<=50K
Male,48,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K
Male,51,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K
Female,33,White,Divorced,Some-college,United-States,Private,Exec-managerial,<=50K
Male,36,White,Divorced,Masters,United-States,State-gov,Prof-specialty,<=50K
Male,54,White,Married-civ-spouse,Some-college,United-States,Federal-gov,Exec-managerial,>50K
Female,26,Black,Never-married,Some-college,United-States,Private,Exec-managerial,<=50K
Male,57,Asian-Pac-Islander,Married-civ-spouse,Bachelors,Philippines,Private,Exec-managerial,>50K
Male,25,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Exec-managerial,<=50K
Male,56,White,Married-civ-spouse,Bachelors,United-States,Private,Adm-clerical,>50K
Female,67,White,Widowed,HS-grad,United-States,Private,Sales,<=50K
Female,29,White,Divorced,11th,United-States,Private,Craft-repair,<=50K
Female,46,White,Married-civ-spouse,Preschool,Mexico,Private,Machine-op-inspct,<=50K
Female,30,Asian-Pac-Islander,Divorced,Bachelors,China,Private,Exec-managerial,<=50K
Female,62,White,Separated,Some-college,United-States,Private,Sales,<=50K
Female,43,White,Divorced,HS-grad,United-States,Local-gov,Protective-serv,<=50K
Female,28,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,24,Black,Never-married,Some-college,Haiti,Private,Other-service,<=50K
Male,28,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,42,White,Never-married,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Female,28,White,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,46,White,Divorced,HS-grad,United-States,Private,Transport-moving,<=50K
Male,37,Asian-Pac-Islander,Married-civ-spouse,Bachelors,Philippines,Federal-gov,Adm-clerical,>50K
Female,25,White,Separated,HS-grad,United-States,Private,Other-service,<=50K
Male,40,White,Married-civ-spouse,Assoc-voc,United-States,Private,Prof-specialty,<=50K
Male,25,White,Never-married,Bachelors,United-States,Private,Tech-support,<=50K
Female,44,White,Divorced,Some-college,United-States,Private,Adm-clerical,<=50K
Male,65,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Sales,<=50K
Female,42,Black,Separated,Some-college,United-States,Self-emp-not-inc,Other-service,<=50K
Male,34,White,Divorced,Assoc-acdm,United-States,Private,Sales,>50K
Female,59,Black,Separated,10th,United-States,Private,Priv-house-serv,<=50K
Male,21,Black,Never-married,12th,United-States,Local-gov,Other-service,<=50K
Male,33,White,Married-civ-spouse,Preschool,Mexico,Private,Farming-fishing,<=50K
Male,56,White,Married-civ-spouse,10th,United-States,Self-emp-not-inc,Transport-moving,<=50K
Male,30,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,41,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K
Female,40,White,Married-civ-spouse,Some-college,Scotland,Private,Other-service,<=50K
Male,24,White,Never-married,HS-grad,United-States,Private,Sales,<=50K
Male,31,White,Never-married,HS-grad,United-States,Private,Farming-fishing,<=50K
Female,17,Black,Never-married,11th,United-States,Federal-gov,Adm-clerical,<=50K
Male,28,White,Married-spouse-absent,10th,Mexico,Private,Craft-repair,<=50K
Male,32,White,Never-married,Masters,United-States,Local-gov,Prof-specialty,<=50K
Male,18,White,Never-married,HS-grad,United-States,Private,Sales,<=50K
Male,43,White,Divorced,Some-college,United-States,Private,Craft-repair,<=50K
Male,36,Black,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Female,58,Asian-Pac-Islander,Married-civ-spouse,HS-grad,Philippines,Private,Priv-house-serv,<=50K
Male,36,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,42,White,Divorced,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Female,23,White,Never-married,HS-grad,United-States,Private,Sales,<=50K
Male,31,Black,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,27,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Exec-managerial,>50K
