sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,35-39,White,Married-civ-spouse,Higher education,*,Private,Sales,<=50K
Male,50-59,White,Married-civ-spouse,Undergraduate,United-States,Private,Craft-repair,<=50K
Male,30-34,White,Married-civ-spouse,*,*,Private,Craft-repair,<=50K
Male,20,*,Never-married,Higher education,*,Private,*,<=50K
Male,20-39,Black,spouse not present,Higher education,United-States,*,Nontechnical,<=50K
Male,20-24,White,spouse not present,High School,North America,Non-Government,Other,<=50K
Male,20-29,White,spouse not present,Professional Education,United-States,Non-Government,Technical,<=50K
Male,30-39,White,spouse not present,Higher education,United-States,Government,Technical,<=50K
Female,40-49,*,spouse not present,High School,*,Private,Other,<=50K
Male,20-39,White,Divorced,Some-college,United-States,Private,Craft-repair,<=50K
Female,50-59,*,spouse not present,High School,*,Private,Technical,<=50K
Male,60-79,White,Married-civ-spouse,High School,United-States,*,Nontechnical,>50K
Male,45-49,*,Married-civ-spouse,Higher education,*,Private,Other,>50K
Female,25-29,White,Never-married,Bachelors,United-States,Private,Technical,>50K
Male,40-59,White,Married-civ-spouse,Undergraduate,United-States,Non-Government,Prof-specialty,>50K
Female,55-59,*,spouse not present,High School,North America,Private,Other,<=50K
Male,20-39,White,Married-civ-spouse,High School,United-States,Private,Exec-managerial,>50K
Male,20-24,White,Never-married,Undergraduate,United-States,State-gov,Technical,<=50K
Male,20-39,White,spouse not present,Higher education,United-States,Government,Nontechnical,<=50K
Male,20-24,White,Never-married,Higher education,*,Non-Government,Other,<=50K
Female,20-39,White,Married-civ-spouse,Higher education,United-States,Non-Government,Technical,>50K
Male,35-39,White,Married-civ-spouse,Higher education,United-States,Private,Exec-managerial,<=50K
Male,45-49,*,Married-civ-spouse,Some-college,*,Non-Government,Craft-repair,<=50K
Female,20-39,White,spouse not present,Professional Education,United-States,Private,Technical,<=50K
Male,20-29,White,Never-married,Undergraduate,United-States,Non-Government,Exec-managerial,<=50K
Male,55-59,White,spouse not present,*,United-States,Private,Other,<=50K
Male,30-39,White,spouse not present,Undergraduate,United-States,Private,Sales,>50K
Female,15-19,*,*,High School,United-States,*,Other,<=50K
Female,22,White,spouse not present,High School,North America,Private,Other,<=50K
Male,30-34,White,Married-civ-spouse,High School,United-States,Non-Government,Other,<=50K
