sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,36,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Male,26,White,Never-married,Bachelors,United-States,Federal-gov,Tech-support,<=50K
Male,27,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Female,43,White,Married-civ-spouse,HS-grad,Greece,Private,Machine-op-inspct,<=50K
Male,53,White,Married-civ-spouse,1st-4th,Mexico,Local-gov,Other-service,<=50K
Female,22,Asian-Pac-Islander,Never-married,Some-college,Vietnam,Private,Craft-repair,<=50K
Female,47,Black,Married-civ-spouse,HS-grad,United-States,Private,Other-service,<=50K
Male,47,White,Separated,HS-grad,United-States,Private,Craft-repair,<=50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,>50K
Female,65,White,Divorced,Bachelors,United-States,Private,Adm-clerical,<=50K
Male,27,White,Never-married,HS-grad,United-States,Self-emp-inc,Sales,<=50K
Male,31,White,Married-civ-spouse,Some-college,Germany,Private,Exec-managerial,>50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,52,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Female,26,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Male,49,White,Married-civ-spouse,Some-college,United-States,State-gov,Farming-fishing,<=50K
Female,52,White,Never-married,Some-college,United-States,Private,Exec-managerial,<=50K
Male,40,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Craft-repair,<=50K
Female,25,Black,Married-spouse-absent,Some-college,United-States,Private,Adm-clerical,<=50K
Male,30,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Female,21,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,17,White,Never-married,11th,United-States,Private,Sales,<=50K
Female,33,Black,Never-married,Bachelors,United-States,State-gov,Prof-specialty,<=50K
Female,52,Black,Never-married,7th-8th,United-States,Local-gov,Other-service,<=50K
Male,24,White,Never-married,Bachelors,United-States,Private,Tech-support,<=50K
Male,34,Black,Married-civ-spouse,Some-college,Jamaica,Private,Prof-specialty,>50K
Female,41,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,46,White,Married-civ-spouse,Bachelors,United-States,Federal-gov,Exec-managerial,>50K
Male,26,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Female,21,White,Never-married,Some-college,United-States,State-gov,Prof-specialty,<=50K
Male,41,White,Married-civ-spouse,Bachelors,United-States,State-gov,Adm-clerical,>50K
Male,39,White,Married-civ-spouse,Prof-school,United-States,Private,Craft-repair,>50K
Female,17,White,Never-married,10th,United-States,Private,Sales,<=50K
Female,31,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Other-service,>50K
Male,56,White,Never-married,Masters,United-States,Self-emp-not-inc,Sales,<=50K
Female,26,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,21,Black,Never-married,Some-college,United-States,Private,Protective-serv,>50K
Male,33,Asian-Pac-Islander,Married-civ-spouse,Doctorate,Hong,State-gov,Prof-specialty,<=50K
Male,39,White,Separated,Bachelors,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,37,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K
Male,43,Amer-Indian-Eskimo,Married-civ-spouse,HS-grad,United-States,State-gov,Other-service,<=50K
Male,53,White,Married-civ-spouse,Assoc-voc,United-States,Private,Tech-support,>50K
Male,22,White,Never-married,HS-grad,United-States,Private,Sales,<=50K
Male,53,White,Married-civ-spouse,Doctorate,United-States,State-gov,Prof-specialty,>50K
Male,50,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Exec-managerial,>50K
Male,33,White,Married-civ-spouse,Assoc-acdm,Portugal,Private,Craft-repair,<=50K
Male,36,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,50,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K
Male,46,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Machine-op-inspct,>50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Exec-managerial,>50K
Male,61,White,Married-civ-spouse,5th-6th,United-States,Private,Handlers-cleaners,<=50K
Male,50,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,47,White,Married-civ-spouse,Some-college,United-States,State-gov,Adm-clerical,<=50K
Male,60,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K
Male,26,White,Never-married,11th,United-States,Private,Craft-repair,<=50K
Male,37,White,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,>50K
Male,23,Asian-Pac-Islander,Never-married,HS-grad,United-States,Private,Sales,<=50K
Male,31,White,Never-married,7th-8th,United-States,Private,Handlers-cleaners,<=50K
Female,38,Black,Married-civ-spouse,Bachelors,United-States,State-gov,Exec-managerial,>50K
Male,27,White,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,34,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Male,44,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,38,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K
Male,40,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,40,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Tech-support,<=50K
Female,38,White,Never-married,Bachelors,United-States,State-gov,Exec-managerial,<=50K
Male,39,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,31,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K
Female,35,White,Divorced,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,51,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Female,48,White,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,>50K
Male,50,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,>50K
Male,56,White,Married-civ-spouse,Some-college,United-States,Private,Tech-support,>50K
Male,28,White,Never-married,Bachelors,United-States,Private,Prof-specialty,>50K
Female,17,White,Never-married,11th,United-States,Local-gov,Other-service,<=50K
Male,57,White,Married-civ-spouse,Masters,United-States,Federal-gov,Sales,>50K
Female,48,Black,Separated,Some-college,United-States,Private,Sales,<=50K
Female,27,Amer-Indian-Eskimo,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Male,46,White,Married-civ-spouse,7th-8th,United-States,Private,Craft-repair,<=50K
Female,29,White,Divorced,HS-grad,United-States,Private,Other-service,<=50K
Male,40,White,Divorced,Assoc-acdm,United-States,Self-emp-not-inc,Exec-managerial,<=50K
Female,21,White,Never-married,Some-college,United-States,State-gov,Tech-support,<=50K
Male,32,White,Married-civ-spouse,Some-college,United-States,Local-gov,Protective-serv,>50K
Male,48,White,Married-civ-spouse,Doctorate,United-States,State-gov,Prof-specialty,>50K
Male,24,Black,Never-married,5th-6th,Mexico,Private,Farming-fishing,<=50K
Female,42,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Prof-specialty,<=50K
