round,AUC
1,0.7812815920398011
2,0.7667764966740576
3,0.7973090005521811
4,0.7856
5,0.7878
6,0.7952980609418282
7,0.8077514648977336
8,0.80145
9,0.79615
10,0.8046148558758315
11,0.7816167032967032
12,0.8125
13,0.7815348115299334
14,0.7918734840132304
15,0.7972862734288865
16,0.7979937051352843
17,0.7932162072767365
18,0.7814942350332595
19,0.795367221297837
20,0.8073975663716815
21,0.782474875759249
22,0.7836483195592286
23,0.801249667405765
24,0.8069598676957003
25,0.8048692731277534
26,0.796573513215859
27,0.7877690909090909
28,0.7777641791044775
29,0.7851246831955923
30,0.8015660418963617
31,0.7784563395810363
32,0.7761478500551268
33,0.7736999999999999
34,0.779330193905817
35,0.7889039248203427
36,0.7902770083102494
37,0.791335342920354
38,0.79315
39,0.7999339944903582
40,0.7807387755102042
41,0.7525847045831031
42,0.7629001101928375
43,0.7778949695964621
44,0.7798218836565097
45,0.76435
46,0.762585052399338
47,0.7785468144044322
48,0.788811955922865
49,0.7381429120879122
50,0.7800435940099834
51,0.7947039800995024
52,0.78015
53,0.7779163434903048
54,0.7846782705099778
55,0.7658099337748344
56,0.7794263506063946
57,0.7530311466372658
58,0.7724245033112582
59,0.7856100882028666
60,0.7910110558319514
61,0.7788434014356709
62,0.7620825895316805
63,0.79845
64,0.7819922394678492
65,0.7833221424627277
66,0.7795313671444322
67,0.7631666850523994
68,0.7816917960088692
69,0.7759865671641791
70,0.7715557766721947
71,0.7829217559359469
72,0.7737599337748345
73,0.7621590633608815
74,0.7785771097628241
75,0.7843605859590934
76,0.777514475873544
77,0.7810594266813672
78,0.7708491758241757
79,0.7899969713656388
80,0.7766722838137472
81,0.7748663349917081
82,0.7838496402877697
83,0.7716738359201774
84,0.7684205638474295
85,0.7982000000000001
86,0.776734418091561
87,0.7643223691460056
88,0.7684021978021978
89,0.7968057490326148
90,0.7736781094527364
91,0.7621552106430155
92,0.7647451790633609
93,0.766069476584022
94,0.7811379157427938
95,0.7675467582417582
96,0.7746646766169153
97,0.7929431177446102
98,0.7754893569844789
99,0.7767229916897508
100,0.7944035971223021
