sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,40,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Sales,<=50K
Male,59,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K
Male,31,White,Married-civ-spouse,11th,United-States,Private,Craft-repair,<=50K
Male,20,White,Never-married,Some-college,United-States,Private,Craft-repair,<=50K
Male,32,Black,Divorced,Some-college,United-States,Private,Exec-managerial,<=50K
Male,23,White,Never-married,HS-grad,Guatemala,Private,Other-service,<=50K
Male,22,White,Divorced,Assoc-voc,United-States,Private,Tech-support,<=50K
Male,32,White,Never-married,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Female,43,White,Separated,HS-grad,United-States,Private,Other-service,<=50K
Male,38,White,Divorced,Some-college,United-States,Private,Craft-repair,<=50K
Female,60,White,Widowed,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,63,White,Married-civ-spouse,12th,United-States,Private,Sales,>50K
Male,48,White,Married-civ-spouse,Bachelors,United-States,Private,Adm-clerical,>50K
Female,30,White,Never-married,Bachelors,United-States,Private,Tech-support,>50K
Male,42,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Female,59,White,Married-spouse-absent,HS-grad,Puerto-Rico,Private,Adm-clerical,<=50K
Male,36,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,>50K
Male,21,White,Never-married,Some-college,United-States,State-gov,Tech-support,<=50K
Male,30,White,Never-married,Some-college,United-States,Local-gov,Handlers-cleaners,<=50K
Male,25,White,Never-married,Bachelors,United-States,Private,Other-service,<=50K
Female,39,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,40,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K
Male,49,White,Married-civ-spouse,Some-college,Canada,Private,Craft-repair,<=50K
Female,39,White,Divorced,Assoc-acdm,United-States,Private,Prof-specialty,<=50K
Male,29,White,Never-married,Bachelors,United-States,Private,Exec-managerial,<=50K
Male,60,White,Divorced,HS-grad,United-States,Private,Protective-serv,<=50K
Male,34,White,Never-married,Bachelors,United-States,Private,Sales,>50K
Female,19,White,Never-married,10th,United-States,Private,Other-service,<=50K
Female,22,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,31,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Male,50,White,Married-civ-spouse,Prof-school,United-States,Self-emp-inc,Prof-specialty,>50K
Male,21,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,37,White,Divorced,HS-grad,United-States,Private,Sales,<=50K
Female,58,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,>50K
Female,24,Asian-Pac-Islander,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,41,Asian-Pac-Islander,Never-married,Some-college,Philippines,Private,Tech-support,<=50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Female,44,Black,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Male,49,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Exec-managerial,>50K
Male,32,White,Married-civ-spouse,Some-college,United-States,Local-gov,Protective-serv,<=50K
Male,58,White,Married-civ-spouse,10th,United-States,Local-gov,Transport-moving,<=50K
Female,19,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Female,22,Black,Never-married,Some-college,United-States,State-gov,Adm-clerical,<=50K
Female,52,White,Divorced,11th,United-States,Private,Other-service,<=50K
Male,33,White,Married-civ-spouse,Prof-school,United-States,Self-emp-not-inc,Prof-specialty,>50K
Male,35,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Female,38,White,Divorced,Some-college,United-States,Private,Tech-support,<=50K
Male,21,White,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K
Male,26,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,51,White,Married-civ-spouse,7th-8th,United-States,Private,Protective-serv,<=50K
Female,52,White,Separated,Some-college,United-States,Federal-gov,Exec-managerial,<=50K
Female,40,White,Married-civ-spouse,Doctorate,United-States,Private,Prof-specialty,>50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Female,43,White,Married-civ-spouse,Assoc-voc,United-States,State-gov,Prof-specialty,>50K
Male,55,White,Married-civ-spouse,Doctorate,United-States,Private,Prof-specialty,>50K
Female,23,White,Never-married,Assoc-acdm,United-States,Private,Adm-clerical,<=50K
Female,20,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,47,White,Divorced,Masters,United-States,Private,Prof-specialty,>50K
Female,23,White,Separated,11th,United-States,Private,Other-service,<=50K
Female,41,White,Divorced,Some-college,United-States,Local-gov,Exec-managerial,<=50K
Male,70,White,Married-civ-spouse,Assoc-voc,United-States,Private,Machine-op-inspct,>50K
Female,54,Black,Divorced,Some-college,United-States,Local-gov,Exec-managerial,<=50K
Male,69,White,Separated,Bachelors,United-States,Self-emp-inc,Exec-managerial,<=50K
Female,90,White,Never-married,Masters,United-States,Private,Exec-managerial,<=50K
Female,20,White,Never-married,Assoc-voc,United-States,Local-gov,Adm-clerical,<=50K
Male,36,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Farming-fishing,>50K
