sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
*,*,White,*,*,*,Private,*,<=50K
Male,20-39,*,*,*,*,Non-Government,Nontechnical,<=50K
Male,20-39,White,*,Undergraduate,United-States,Non-Government,Other,<=50K
Female,*,*,spouse not present,Higher education,United-States,Government,Prof-specialty,<=50K
Male,40-59,White,spouse not present,High School,United-States,Private,*,<=50K
Male,*,*,Married-civ-spouse,HS-grad,North America,Private,Technical,>50K
Male,*,White,Never-married,*,*,Non-Government,Technical,<=50K
Male,*,White,Never-married,*,North America,Non-Government,*,<=50K
Male,*,White,Married-civ-spouse,Higher education,*,Non-Government,Nontechnical,<=50K
Male,40-59,*,Divorced,Higher education,United-States,Private,Nontechnical,>50K
Male,*,White,Married-civ-spouse,*,*,Private,*,>50K
Female,*,White,spouse not present,*,North America,Private,Technical,<=50K
Male,20-39,White,Married-civ-spouse,*,North America,Private,Craft-repair,<=50K
Female,*,White,spouse not present,*,*,Non-Government,*,<=50K
Male,*,White,Married-civ-spouse,Higher education,United-States,*,*,<=50K
Male,*,White,Married-civ-spouse,*,*,Private,*,>50K
Male,*,*,*,*,*,Non-Government,*,<=50K
Male,20-39,White,spouse not present,*,United-States,*,Technical,<=50K
Male,*,White,Married-civ-spouse,*,United-States,*,*,>50K
Male,*,*,Married-civ-spouse,*,*,Private,Technical,>50K
Male,*,*,Married-civ-spouse,High School,United-States,*,*,<=50K
*,*,White,*,*,United-States,Government,*,<=50K
Female,15-19,*,Never-married,High School,North America,Private,*,<=50K
Male,*,White,Married-civ-spouse,Higher education,United-States,Government,Exec-managerial,<=50K
Male,20-39,*,*,*,*,Non-Government,Nontechnical,<=50K
Male,30-39,White,spouse not present,*,North America,Non-Government,Other,<=50K
Male,*,White,*,*,North America,Private,Handlers-cleaners,<=50K
Male,*,White,Married-civ-spouse,Higher education,United-States,*,*,>50K
Male,40-59,White,spouse not present,*,North America,Non-Government,Nontechnical,<=50K
*,*,*,*,*,North America,*,*,<=50K
Male,40-59,White,Married-civ-spouse,High School,United-States,Private,Nontechnical,>50K
Male,40-59,White,spouse not present,*,North America,Non-Government,Nontechnical,<=50K
Male,*,White,Married-civ-spouse,High School,North America,Private,Other,>50K
Female,20-39,*,Never-married,Undergraduate,*,Private,*,<=50K
Male,*,*,Married-civ-spouse,Some-college,North America,Non-Government,*,<=50K
Male,*,*,Married-civ-spouse,HS-grad,North America,Private,Technical,<=50K
Male,*,White,spouse not present,Undergraduate,United-States,Non-Government,*,<=50K
Male,*,White,Married-civ-spouse,*,*,Private,*,<=50K
Male,40-59,White,Married-civ-spouse,High School,United-States,Private,Nontechnical,>50K
Male,*,White,Married-civ-spouse,*,*,Private,*,<=50K
Female,20-39,*,Never-married,Undergraduate,*,Private,*,<=50K
Male,40-49,White,Married-civ-spouse,Higher education,United-States,Non-Government,Nontechnical,<=50K
Male,20-39,White,Married-civ-spouse,High School,United-States,Non-Government,Nontechnical,<=50K
Male,*,White,Never-married,*,*,Non-Government,Technical,<=50K
Female,*,*,*,*,United-States,*,*,<=50K
Male,30-39,White,Married-civ-spouse,Some-college,United-States,Non-Government,*,<=50K
Male,40-59,*,Married-civ-spouse,Some-college,United-States,Non-Government,Exec-managerial,>50K
Male,*,*,*,*,*,Non-Government,*,>50K
Female,*,White,*,Higher education,*,*,*,<=50K
*,*,*,*,*,*,Non-Government,*,<=50K
Female,20-39,White,spouse not present,*,North America,*,*,<=50K
*,40-59,White,Married-civ-spouse,*,United-States,*,*,<=50K
Male,*,*,*,High School,United-States,*,*,<=50K
Female,20-39,White,Never-married,HS-grad,*,Private,Other,<=50K
Male,*,*,Married-civ-spouse,Higher education,*,*,*,>50K
Male,*,White,Married-civ-spouse,Higher education,*,*,Technical,>50K
Female,20-39,White,*,*,North America,*,Other,<=50K
Male,*,*,Married-civ-spouse,High School,United-States,*,*,<=50K
*,20-39,White,Never-married,Higher education,United-States,*,*,<=50K
Male,*,White,Married-civ-spouse,High School,United-States,Non-Government,Craft-repair,<=50K
