sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,28,White,Never-married,HS-grad,United-States,Private,Tech-support,<=50K
Female,23,White,Separated,Some-college,United-States,Private,Sales,<=50K
Male,37,Asian-Pac-Islander,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K
Male,63,White,Married-civ-spouse,Some-college,United-States,Federal-gov,Tech-support,>50K
Male,39,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Female,47,White,Separated,Some-college,United-States,Private,Adm-clerical,>50K
Female,46,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,24,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,21,White,Never-married,HS-grad,United-States,Private,Transport-moving,<=50K
Female,24,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,18,White,Never-married,HS-grad,United-States,Private,Protective-serv,<=50K
Female,46,White,Widowed,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,30,White,Married-civ-spouse,Assoc-voc,United-States,Private,Exec-managerial,<=50K
Male,34,White,Divorced,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Female,31,White,Divorced,Some-college,United-States,Private,Craft-repair,<=50K
Male,45,White,Widowed,HS-grad,United-States,Local-gov,Protective-serv,>50K
Female,24,Asian-Pac-Islander,Married-civ-spouse,Some-college,Laos,Private,Adm-clerical,<=50K
Female,30,Black,Never-married,Assoc-acdm,United-States,Private,Prof-specialty,<=50K
Female,46,White,Married-civ-spouse,7th-8th,United-States,Private,Prof-specialty,<=50K
Male,29,Black,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K
Male,29,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Male,27,White,Married-civ-spouse,10th,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,48,White,Divorced,HS-grad,United-States,Private,Transport-moving,<=50K
Male,22,White,Never-married,Some-college,United-States,Private,Machine-op-inspct,<=50K
Male,25,White,Never-married,Some-college,Poland,Private,Other-service,<=50K
Male,60,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Exec-managerial,>50K
Male,18,White,Never-married,12th,United-States,Private,Handlers-cleaners,<=50K
Female,28,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,39,White,Divorced,HS-grad,United-States,Private,Adm-clerical,>50K
Male,22,White,Never-married,Assoc-voc,United-States,Private,Craft-repair,<=50K
Male,30,White,Never-married,Assoc-voc,United-States,Private,Craft-repair,<=50K
Female,24,White,Never-married,Bachelors,United-States,Private,Exec-managerial,<=50K
Female,41,White,Married-civ-spouse,9th,Dominican-Republic,Self-emp-inc,Sales,<=50K
Female,20,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,31,Other,Married-civ-spouse,HS-grad,United-States,Private,Other-service,<=50K
Male,45,White,Married-civ-spouse,Assoc-voc,United-States,Private,Machine-op-inspct,>50K
Male,42,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,>50K
Male,32,Black,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Male,45,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,46,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
Male,45,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Female,22,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,21,White,Married-civ-spouse,5th-6th,Mexico,Private,Handlers-cleaners,<=50K
Male,30,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,52,White,Married-civ-spouse,Some-college,United-States,Private,Machine-op-inspct,<=50K
Female,60,White,Married-civ-spouse,HS-grad,United-States,Private,Other-service,>50K
Male,27,White,Married-civ-spouse,Some-college,United-States,Local-gov,Protective-serv,<=50K
Female,33,White,Divorced,Bachelors,Germany,Local-gov,Protective-serv,<=50K
Male,62,Asian-Pac-Islander,Married-civ-spouse,5th-6th,Philippines,Private,Farming-fishing,<=50K
Female,46,White,Married-civ-spouse,Some-college,United-States,Private,Farming-fishing,<=50K
Male,78,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Exec-managerial,<=50K
Female,39,Amer-Indian-Eskimo,Divorced,Assoc-voc,Columbia,Private,Other-service,<=50K
Male,25,Black,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,61,Black,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Transport-moving,<=50K
Male,22,White,Never-married,Some-college,United-States,Private,Exec-managerial,<=50K
Female,72,White,Married-civ-spouse,HS-grad,England,Private,Exec-managerial,<=50K
Female,41,Black,Separated,HS-grad,United-States,Private,Other-service,<=50K
Male,25,Black,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,32,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,>50K
Female,38,White,Married-civ-spouse,HS-grad,United-States,Private,Prof-specialty,<=50K
Male,42,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K
Male,23,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,44,White,Married-civ-spouse,Assoc-voc,United-States,Private,Prof-specialty,>50K
Male,35,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,30,White,Married-civ-spouse,5th-6th,Mexico,Private,Craft-repair,<=50K
Male,40,White,Never-married,Bachelors,United-States,Private,Tech-support,<=50K
Female,53,White,Divorced,9th,Canada,Private,Other-service,<=50K
Male,25,White,Never-married,HS-grad,United-States,Private,Exec-managerial,<=50K
Female,42,White,Divorced,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,37,White,Separated,Doctorate,United-States,Private,Prof-specialty,<=50K
Female,58,Amer-Indian-Eskimo,Widowed,Some-college,United-States,Federal-gov,Prof-specialty,<=50K
Male,40,White,Divorced,Assoc-voc,United-States,Private,Tech-support,<=50K
Male,28,White,Divorced,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Female,49,White,Divorced,HS-grad,United-States,Self-emp-inc,Exec-managerial,<=50K
Male,54,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,24,White,Never-married,HS-grad,Mexico,Private,Other-service,<=50K
Male,54,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Exec-managerial,>50K
Male,33,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K
Male,43,White,Married-civ-spouse,Bachelors,United-States,State-gov,Prof-specialty,<=50K
Male,43,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Protective-serv,>50K
Male,42,White,Married-civ-spouse,HS-grad,United-States,Private,Prof-specialty,>50K
Male,32,White,Married-civ-spouse,12th,Mexico,Private,Machine-op-inspct,<=50K
Female,36,White,Married-civ-spouse,10th,United-States,Private,Machine-op-inspct,<=50K
Male,40,White,Married-civ-spouse,Bachelors,England,Self-emp-not-inc,Adm-clerical,<=50K
Female,40,White,Never-married,11th,Dominican-Republic,Private,Machine-op-inspct,<=50K
Male,27,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,55,White,Married-civ-spouse,Bachelors,United-States,Self-emp-inc,Exec-managerial,>50K
Male,34,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Transport-moving,<=50K
Male,41,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Female,38,White,Separated,Some-college,United-States,Private,Other-service,<=50K
Male,25,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,25,White,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,61,White,Married-civ-spouse,HS-grad,United-States,Private,Other-service,<=50K
Male,19,White,Never-married,Preschool,Hong,Private,Farming-fishing,<=50K
Male,35,Asian-Pac-Islander,Married-civ-spouse,Doctorate,Taiwan,Private,Prof-specialty,>50K
Male,32,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,<=50K
Male,37,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Female,46,White,Married-civ-spouse,Masters,United-States,Self-emp-inc,Exec-managerial,>50K
Female,50,White,Married-spouse-absent,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,34,White,Married-civ-spouse,Assoc-voc,United-States,Private,Machine-op-inspct,<=50K
Female,32,Black,Separated,Some-college,United-States,Private,Exec-managerial,<=50K
Male,50,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,18,White,Never-married,11th,United-States,Private,Other-service,<=50K
Female,39,White,Divorced,Some-college,United-States,Private,Sales,<=50K
Female,43,White,Married-civ-spouse,Some-college,United-States,Private,Prof-specialty,>50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Female,27,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Male,62,White,Married-civ-spouse,Masters,United-States,Self-emp-inc,Sales,<=50K
Male,67,White,Married-civ-spouse,Bachelors,United-States,Private,Protective-serv,>50K
Male,35,White,Never-married,HS-grad,Peru,Private,Handlers-cleaners,<=50K
Male,36,White,Married-civ-spouse,5th-6th,Mexico,Private,Machine-op-inspct,>50K
Female,36,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Female,29,White,Never-married,Assoc-acdm,United-States,Private,Prof-specialty,>50K
Female,59,White,Divorced,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,32,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Protective-serv,<=50K
Female,23,White,Never-married,12th,United-States,Private,Machine-op-inspct,<=50K
Male,32,White,Married-civ-spouse,HS-grad,United-States,Private,Tech-support,>50K
Female,20,White,Never-married,Some-college,Mexico,Private,Adm-clerical,<=50K
Female,23,White,Never-married,11th,Puerto-Rico,Private,Farming-fishing,<=50K
Male,23,White,Never-married,HS-grad,United-States,Private,Sales,<=50K
Female,55,White,Divorced,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,18,Black,Never-married,10th,United-States,Private,Sales,<=50K
Male,20,White,Married-civ-spouse,11th,Mexico,Private,Farming-fishing,<=50K
Male,41,White,Married-civ-spouse,Bachelors,United-States,Private,Farming-fishing,<=50K
Male,41,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Female,17,Black,Never-married,9th,United-States,Private,Other-service,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Male,28,White,Married-civ-spouse,Masters,United-States,Private,Prof-specialty,>50K
Female,21,White,Never-married,Assoc-acdm,United-States,Private,Other-service,<=50K
Male,52,White,Married-civ-spouse,Masters,United-States,Self-emp-inc,Exec-managerial,>50K
Male,31,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,<=50K
Male,49,White,Married-civ-spouse,HS-grad,United-States,Federal-gov,Machine-op-inspct,<=50K
Male,46,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K
Male,39,White,Married-civ-spouse,Bachelors,United-States,Private,Craft-repair,>50K
Male,43,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,66,White,Married-civ-spouse,Doctorate,United-States,Self-emp-not-inc,Sales,>50K
Female,33,White,Married-civ-spouse,Doctorate,United-States,State-gov,Prof-specialty,>50K
Male,30,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K
Male,45,White,Married-civ-spouse,Masters,United-States,State-gov,Prof-specialty,>50K
Female,27,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,50,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Female,40,White,Never-married,Masters,United-States,Private,Exec-managerial,>50K
Male,30,White,Married-civ-spouse,10th,United-States,Private,Craft-repair,<=50K
Female,32,White,Divorced,Some-college,United-States,Private,Exec-managerial,<=50K
Male,45,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Male,50,White,Married-civ-spouse,HS-grad,El-Salvador,Self-emp-not-inc,Sales,>50K
Female,28,White,Never-married,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,69,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,19,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,27,White,Divorced,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Female,19,White,Never-married,11th,Honduras,Private,Sales,<=50K
Male,53,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Female,19,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,37,White,Married-civ-spouse,Assoc-acdm,United-States,Self-emp-inc,Sales,>50K
Male,35,White,Married-civ-spouse,HS-grad,United-States,Private,Farming-fishing,<=50K
Female,30,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,61,White,Never-married,Some-college,United-States,Private,Priv-house-serv,<=50K
Male,43,White,Divorced,Some-college,United-States,Private,Craft-repair,<=50K
Female,37,Asian-Pac-Islander,Divorced,Some-college,Japan,Private,Exec-managerial,>50K
Female,21,White,Never-married,Some-college,United-States,Private,Prof-specialty,<=50K
Female,24,White,Never-married,Some-college,United-States,Private,Tech-support,<=50K
Male,34,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Female,19,White,Never-married,Some-college,United-States,Self-emp-not-inc,Craft-repair,<=50K
Female,73,White,Divorced,HS-grad,United-States,Private,Other-service,<=50K
Female,20,White,Never-married,Some-college,United-States,Private,Tech-support,<=50K
Male,27,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,65,White,Married-civ-spouse,7th-8th,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,47,White,Married-spouse-absent,5th-6th,Mexico,Private,Machine-op-inspct,<=50K
Female,40,White,Divorced,Some-college,United-States,Private,Adm-clerical,<=50K
Female,47,Black,Never-married,Some-college,United-States,Self-emp-not-inc,Other-service,<=50K
Male,18,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
